case,method,resolution,x1,raw_value,plotted_value,analytic_value
hydro_viscosity,explicit,256,-1.42578125,1.1878009328436555e-07,1.1878009328436555e-07,1.1877942780207488e-07
hydro_viscosity,explicit,256,-1.38671875,1.1950735124273533e-07,1.1950735124273533e-07,1.1950661684293952e-07
hydro_viscosity,explicit,256,-1.34765625,1.2021867647633797e-07,1.2021867647633797e-07,1.2021787414720384e-07
hydro_viscosity,explicit,256,-1.30859375,1.2091373222239194e-07,1.2091373222239194e-07,1.2091286302201028e-07
hydro_viscosity,explicit,256,-1.26953125,1.2159218804189567e-07,1.2159218804189567e-07,1.2159125309740615e-07
hydro_viscosity,explicit,256,-1.23046875,1.2225372008092753e-07,1.2225372008092753e-07,1.2225272058755948e-07
hydro_viscosity,explicit,256,-1.19140625,1.228980113278364e-07,1.228980113278364e-07,1.2289694854786633e-07
hydro_viscosity,explicit,256,-1.15234375,1.235247518660378e-07,1.235247518660378e-07,1.2352362712766405e-07
hydro_viscosity,explicit,256,-1.11328125,1.2413363912213316e-07,1.2413363912213316e-07,1.2413245381826908e-07
hydro_viscosity,explicit,256,-1.07421875,1.2472437810907526e-07,1.2472437810907526e-07,1.2472313369606135e-07
hydro_viscosity,explicit,256,-1.03515625,1.252966816641059e-07,1.252966816641059e-07,1.252953796603425e-07
hydro_viscosity,explicit,256,-0.99609375,1.2585027068119798e-07,1.2585027068119798e-07,1.258489126656996e-07
hydro_viscosity,explicit,256,-0.95703125,1.263848743377382e-07,1.263848743377382e-07,1.2638346194861118e-07
hydro_viscosity,explicit,256,-0.91796875,1.2690023031519347e-07,1.2690023031519347e-07,1.2689876524803814e-07
hydro_viscosity,explicit,256,-0.87890625,1.2739608501350912e-07,1.2739608501350912e-07,1.273945690197484e-07
hydro_viscosity,explicit,256,-0.83984375,1.2787219375899378e-07,1.2787219375899378e-07,1.2787062864413017e-07
hydro_viscosity,explicit,256,-0.80078125,1.2832832100545223e-07,1.2832832100545223e-07,1.2832670862725482e-07
hydro_viscosity,explicit,256,-0.76171875,1.2876424052833566e-07,1.2876424052833566e-07,1.2876258279495942e-07
hydro_viscosity,explicit,256,-0.72265625,1.291797356116842e-07,1.291797356116842e-07,1.291780344797236e-07
